threshold,side,object_id,label,count,object_mesh_vertices,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz
0.05,dsg_fp,5692549928996307104,11,2370,12789,-8.54551,13.6361,2.03531,0.702334,0.320004,0.547975
0.05,dsg_fp,5692549928996306985,3,2641,4167,-9.60083,34.6776,1.27175,1.25384,1.68372,0.573184
0.05,dsg_fp,5692549928996306973,3,6373,5178,-9.43849,35.3888,1.73985,0.875507,1.6991,0.619646
0.05,dsg_fp,5692549928996307100,11,516,4992,3.03475,17.2378,1.45067,1.09392,4.28043,0.997137
0.05,dsg_fp,5692549928996306987,2,1300,3594,-9.81758,34.8242,1.91592,1.63895,1.4611,0.295835
0.05,dsg_fp,5692549928996307026,3,844,6579,-3.14001,31.5649,1.60531,0.456,0.861954,0.362109
0.05,dsg_fp,5692549928996307027,4,598,13896,-2.86618,31.3769,1.87218,0.46316,0.263479,0.188254
0.05,dsg_fp,5692549928996307028,3,211,495,-4.66052,32.6042,1.37606,0.487076,0.735962,0.794327
0.05,dsg_fp,5692549928996307029,3,3190,16500,-2.91534,28.3457,2.00799,0.618261,1.63289,2.03807
0.05,dsg_fp,5692549928996307030,2,1107,5889,-8.13548,28.1596,1.9214,0.707158,0.973413,0.301487
0.05,dsg_fp,5692549928996307031,2,1732,7926,-8.0637,29.0613,1.80141,0.38635,0.344931,0.0423414
0.05,dsg_fp,5692549928996307032,3,7241,12684,-7.61408,28.6674,1.83415,2.05795,1.61725,1.70277
0.05,dsg_fp,5692549928996307035,3,4606,13407,-8.05359,27.8247,1.3969,0.759762,0.395496,0.783859
0.05,dsg_fp,5692549928996307036,2,432,26283,-8.16026,27.176,1.39275,0.448364,0.474598,0.801245
0.05,dsg_fp,5692549928996307037,15,187,2871,-5.48028,22.4912,2.60577,0.270419,0.184328,1.33351
0.05,dsg_fp,5692549928996307038,2,71,29691,-6.30803,21.8169,1.39766,0.425505,0.460567,0.791749
0.05,dsg_fp,5692549928996307040,15,98,1083,-5.48331,22.136,2.28043,0.165211,0.203426,2.12473
0.05,dsg_fp,5692549928996307041,11,2113,8580,2.95707,17.8472,1.4739,0.928479,0.623283,0.952938
0.05,dsg_fp,5692549928996307042,15,1400,4566,3.05468,19.9478,2.4655,0.603193,0.267908,2.04537
0.05,dsg_fp,5692549928996307043,11,8151,32901,3.00702,18.9232,1.47211,1.01357,0.950085,0.951607
0.05,dsg_fp,5692549928996307044,11,6493,14601,6.49231,22.0962,1.46796,0.662729,0.984972,0.949222
0.05,dsg_fp,5692549928996307045,2,11905,33213,5.00486,21.999,1.38996,0.421371,0.423128,0.800318
0.05,dsg_fp,5692549928996307046,2,1703,10329,8.83164,21.8857,1.81634,1.39509,0.65753,1.66826
0.05,dsg_fp,5692549928996307047,11,2011,14175,6.745,22.0779,1.46386,1.16235,1.02364,0.952468
0.05,dsg_fp,5692549928996307048,2,4416,9591,8.29341,21.8617,1.61599,0.716238,0.586636,1.25067
0.05,dsg_fp,5692549928996307050,2,8231,38730,10.477,27.225,1.39418,0.430658,0.557812,0.793177
0.05,dsg_fp,5692549928996307054,2,6054,12507,16.4192,22.9743,1.85617,2.11508,0.967186,1.76772
0.05,dsg_fp,5692549928996307055,2,4888,13404,16.5022,23.024,3.23869,0.882553,0.127335,0.660454
0.05,dsg_fp,5692549928996307056,11,15473,9876,18.2323,23.1004,1.46754,1.793,1.05765,0.962242
0.05,dsg_fp,5692549928996307057,11,952,24636,19.0992,23.2008,1.47827,0.94458,0.860853,0.944901
0.05,dsg_fp,5692549928996307058,2,6630,7230,17.3049,27.9496,1.10602,0.283981,0.357922,0.231247
0.05,dsg_fp,5692549928996307060,11,2172,11052,20.9319,28.9519,1.45552,0.426876,0.502527,0.130069
0.05,dsg_fp,5692549928996307061,3,22,15207,21.0885,30.228,1.25037,0.26745,0.0858955,0.467955
0.05,dsg_fp,5692549928996307069,3,3783,17145,20.6571,29.7273,1.84744,1.19287,1.14909,1.70288
0.05,dsg_fp,5692549928996307067,4,14499,51855,19.8624,29.6011,1.28298,0.686092,0.650534,0.587064
