object_id,semantic_label,first_observed_ns,last_observed_ns,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz,bbox_volume,object_mesh_vertices,object_mesh_faces,dynamic_trajectory_points,dynamic_point_frames,global_vertices_in_bbox,global_vertices_in_bbox_same_label,vertices_candidate,vertices_removed,repair_candidate,repair_candidate_vertices,prior_matched,prior_match_object_id,prior_match_distance_m,session_state
5692549928996306998,3,0,18446744073709551615,-8.22326,34.3483,1.26553,1.69891,1.05918,0.539958,0.971631,6273,2091,0,0,613,0,0,0,false,0,false,0,inf,current
5692549928996306999,2,0,18446744073709551615,-8.717,35.6467,1.92097,0.398977,0.362457,0.299112,0.0432552,13911,4637,0,0,65,0,0,0,true,13911,false,0,inf,current
5692549928996307000,2,0,18446744073709551615,-9.3867,35.0729,1.95828,0.263102,0.153141,0.330646,0.0133223,26628,8876,0,0,44,0,0,0,true,26628,false,0,inf,current
5692549928996307001,3,0,18446744073709551615,-7.98349,33.8104,2.28913,2.35102,0.147789,0.540646,0.18785,1314,438,0,0,424,0,0,0,false,0,false,0,inf,current
5692549928996307002,2,54296510000,18446744073709551615,-9.91147,34.5116,1.91645,0.718617,0.644169,0.295461,0.136772,8373,2791,0,0,134,0,0,0,true,8373,false,0,inf,current
5692549928996307003,2,0,18446744073709551615,-8.7913,35.1876,2.10111,0.483313,0.206287,0.664316,0.0662332,5694,1898,0,0,39,0,0,0,true,5694,false,0,inf,current
5692549928996307004,3,0,18446744073709551615,-8.05753,33.9101,1.28872,1.03968,0.173054,0.564206,0.101512,5151,1717,0,0,142,0,0,0,true,5151,false,0,inf,current
5692549928996307005,11,0,18446744073709551615,-7.77458,35.018,1.895,0.760005,0.803558,0.810013,0.494682,12756,4252,0,0,295,0,0,0,true,12756,false,0,inf,current
5692549928996307006,11,0,18446744073709551615,-7.81194,34.9979,1.19008,0.669417,0.658993,0.396695,0.174998,3105,1035,0,0,112,0,0,0,true,3105,false,0,inf,current
5692549928996307007,2,0,18446744073709551615,-8.33523,34.5684,2.01888,0.822097,0.849995,0.4748,0.33178,10956,3652,0,0,243,0,0,0,true,10956,false,0,inf,current
5692549928996307008,3,0,18446744073709551615,-8.04703,33.9572,1.31144,1.22855,0.221138,0.546779,0.148549,2913,971,0,0,181,0,0,0,false,0,false,0,inf,current
5692549928996307009,11,0,18446744073709551615,-4.06486,34.4361,1.20274,0.410357,0.373867,0.405987,0.062286,3822,1274,0,0,29,0,0,0,true,3822,false,0,inf,current
5692549928996307010,2,0,18446744073709551615,-3.03122,32.7562,2.15205,0.422834,0.400608,0.157969,0.0267584,4299,1433,0,0,8,0,0,0,true,4299,false,0,inf,current
5692549928996307011,11,0,18446744073709551615,-4.29534,34.6533,1.90107,0.390233,0.717308,0.823073,0.230392,16362,5454,0,0,129,0,0,0,true,16362,false,0,inf,current
5692549928996307012,2,0,18446744073709551615,-7.23236,34.1677,1.92801,0.96312,0.599457,0.368182,0.21257,11712,3904,0,0,247,0,0,0,true,11712,false,0,inf,current
5692549928996307013,2,0,18446744073709551615,-8.58564,33.4695,2.03177,0.379069,0.475418,0.395847,0.0713381,18762,6254,0,0,85,0,0,0,true,18762,false,0,inf,current
5692549928996307014,3,0,18446744073709551615,-7.09404,33.2879,1.3864,0.351969,0.904392,0.813094,0.258822,2892,964,0,0,124,0,0,0,true,2892,false,0,inf,current
5692549928996307015,3,0,18446744073709551615,-8.6629,34.1986,1.78995,3.88272,0.945774,1.57381,5.77929,2262,754,0,0,2724,0,0,0,false,0,false,0,inf,current
5692549928996307016,3,0,18446744073709551615,-8.57999,32.1794,1.74706,0.916212,1.31581,0.636433,0.767261,8322,2774,0,0,538,0,0,0,false,0,false,0,inf,current
5692549928996307017,2,0,18446744073709551615,-4.08998,33.4686,1.80685,0.46323,0.525532,0.0960438,0.0233811,7578,2526,0,0,63,0,0,0,true,7578,false,0,inf,current
5692549928996307018,2,0,18446744073709551615,-2.89834,31.6827,1.81506,0.322395,0.309999,0.0846165,0.00845678,6693,2231,0,0,12,0,0,0,true,6693,false,0,inf,current
