frame,session,phase,session_checkpoint,session_time_s,source_time_s,ply,overlay,dynamic_history,dynamic_tracks,display_object_meshes,initial_vertices,removed_vertices,injected_vertices,final_vertices,prior_matched_objects,prior_restored_objects,prior_absent_objects,prior_unobserved_objects,cross_session_prior_vertices,cross_session_current_vertices,cross_session_prior_absent_vertices,cross_session_prior_persistent_vertices,cross_session_prior_unobserved_vertices,cross_session_current_injected_vertices
3,A,within_session,3,11.520002000,10.520002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,11.620002000,10.620002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,11.720002000,10.720002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,11.820002000,10.820002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,11.920002000,10.920002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,12.020002000,11.020002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,12.120002000,11.120002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,12.220002000,11.220002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,12.320002000,11.320002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,12.420002000,11.420002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,12.520002000,11.520002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,12.570002000,11.570002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
