vertex_index,object_id,vertex_label,object_label,distance_m,decision
43454,5692549928996306945,0,3,0.0201805,remove
43455,5692549928996306945,0,3,0.00987982,remove
43464,5692549928996306945,0,3,0.0212781,remove
43465,5692549928996306945,0,3,0.0252378,remove
43475,5692549928996306945,0,3,0.0176609,remove
43476,5692549928996306945,0,3,0.0174115,remove
43477,5692549928996306945,0,3,0.0205353,remove
43485,5692549928996306945,0,3,0.0100609,remove
43486,5692549928996306945,0,3,0.00811415,remove
43487,5692549928996306945,0,3,0.010202,remove
43488,5692549928996306945,0,3,0.0150256,remove
43489,5692549928996306945,0,3,0.0175156,remove
43490,5692549928996306945,0,3,0.0184301,remove
43491,5692549928996306945,0,3,0.0252379,remove
43492,5692549928996306945,0,3,0.0219325,remove
43493,5692549928996306945,0,3,0.0185697,remove
43503,5692549928996306945,0,3,0.0112001,remove
43504,5692549928996306945,0,3,0.0111408,remove
43506,5692549928996306945,0,3,0.00941679,remove
43507,5692549928996306945,0,3,0.0155918,remove
43509,5692549928996306945,0,3,0.0188358,remove
43510,5692549928996306945,0,3,0.0179588,remove
43513,5692549928996306945,0,3,0.0179587,remove
43514,5692549928996306945,0,3,0.0175157,remove
43516,5692549928996306945,0,3,0.0201804,remove
43519,5692549928996306945,0,3,0.020181,remove
43534,5692549928996306945,0,3,0.0127725,remove
43535,5692549928996306945,0,3,0.0165705,remove
43536,5692549928996306945,0,3,0.0220124,remove
43538,5692549928996306945,0,3,0.0209809,remove
43539,5692549928996306945,0,3,0.021278,remove
43540,5692549928996306945,0,3,0.0252372,remove
43542,5692549928996306945,0,3,0.0252373,remove
43552,5692549928996306945,0,3,0.0153166,remove
43563,5692549928996306945,0,3,0.0153157,remove
43565,5692549928996306945,0,3,0.0198304,remove
43566,5692549928996306945,0,3,0.0198297,remove
43567,5692549928996306945,0,3,0.0220131,remove
43569,5692549928996306945,0,3,0.0210135,remove
43574,5692549928996306945,0,3,0.021132,remove
43575,5692549928996306945,0,3,0.0225064,remove
43581,5692549928996306945,0,3,0.0218609,remove
43582,5692549928996306945,0,3,0.0279129,remove
43586,5692549928996306945,0,3,0.0208463,remove
43589,5692549928996306945,0,3,0.0225086,remove
43593,5692549928996306945,0,3,0.0254952,remove
43597,5692549928996306945,0,3,0.0234866,remove
43601,5692549928996306945,0,3,0.0167427,remove
43602,5692549928996306945,0,3,0.0165714,remove
43603,5692549928996306945,0,3,0.0294266,remove
43605,5692549928996306945,0,3,0.0177446,remove
43606,5692549928996306945,0,3,0.0141839,remove
43612,5692549928996306945,0,3,0.0097093,remove
43613,5692549928996306945,0,3,0.0127158,remove
43617,5692549928996306945,0,3,0.0144742,remove
43635,5692549928996306945,0,3,0.0175742,remove
43639,5692549928996306945,0,3,0.0223411,remove
43643,5692549928996306945,0,3,0.0219326,remove
43644,5692549928996306945,0,3,0.0185689,remove
43645,5692549928996306945,0,3,0.0167436,remove
43648,5692549928996306945,0,3,0.0132758,remove
43649,5692549928996306945,0,3,0.00891956,remove
43650,5692549928996306945,0,3,0.0194273,remove
43651,5692549928996306945,0,3,0.0243908,remove
43652,5692549928996306945,0,3,0.0136364,remove
43653,5692549928996306945,0,3,0.0226944,remove
43656,5692549928996306945,0,3,0.0205465,remove
43657,5692549928996306945,0,3,0.0222697,remove
43658,5692549928996306945,0,3,0.0260126,remove
43659,5692549928996306945,0,3,0.0224826,remove
43661,5692549928996306945,0,3,0.0189626,remove
43662,5692549928996306945,0,3,0.0175737,remove
43663,5692549928996306945,0,3,0.0286213,remove
43667,5692549928996306945,0,3,0.0159301,remove
43678,5692549928996306945,0,3,0.024648,remove
43679,5692549928996306945,0,3,0.0201809,remove
43680,5692549928996306945,0,3,0.024648,remove
43682,5692549928996306945,0,3,0.0189631,remove
43683,5692549928996306945,0,3,0.0288045,remove
43684,5692549928996306945,0,3,0.0266045,remove
43692,5692549928996306945,0,3,0.0254947,remove
43693,5692549928996306945,0,3,0.0251681,remove
