threshold,side,object_id,label,count,object_mesh_vertices,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz
0.05,gt_fn,5692549928996307084,2,61,22809,13.8292,30.1452,1.77744,0.20391,0.449835,0.356743
0.05,gt_fn,5692549928996307072,3,247,2382,13.9727,31.9997,2.19864,0.309312,0.650143,2.35612
0.05,gt_fn,5692549928996306945,15,75,20589,-15.4853,21.6005,2.81599,0.37066,0.0594692,0.508057
0.05,gt_fn,5692549928996306977,3,323,6690,-9.73267,33.08,1.29179,1.52184,1.71192,0.566265
0.05,gt_fn,5692549928996307036,2,220,26283,-8.16026,27.176,1.39275,0.448364,0.474598,0.801245
0.05,gt_fn,5692549928996307087,3,6636,9648,13.8803,29.6547,2.33714,0.802863,3.42924,2.70943
0.05,gt_fn,5692549928996306960,2,1629,7899,-13.1003,27.7593,1.77667,0.661176,0.563316,1.47749
0.05,gt_fn,5692549928996307028,3,220,495,-4.66052,32.6042,1.37606,0.487076,0.735962,0.794327
0.05,gt_fn,5692549928996307103,3,4525,13311,-8.46851,13.5067,1.5131,2.2058,2.19347,1.11159
0.05,gt_fn,5692549928996306976,2,7,2835,-10.4537,34.358,1.81035,0.367661,0.46888,0.0776227
0.05,gt_fn,5692549928996307044,11,907,14601,6.49231,22.0962,1.46796,0.662729,0.984972,0.949222
0.05,gt_fn,5692549928996307010,2,47,4920,-3.03349,32.7578,2.15309,0.41996,0.395702,0.160109
0.05,gt_fn,5692549928996306963,3,364,9066,-14.0705,29.0786,1.41287,0.367245,1.13253,0.8082
0.05,gt_fn,5692549928996307106,3,67,9813,-14.1808,29.4713,1.43433,0.680844,2.06134,0.851586
0.05,gt_fn,5692549928996306979,11,30,22089,-7.51456,32.4595,2.08341,0.282726,0.5257,0.454993
0.05,gt_fn,5692549928996306961,2,383,2202,-13.7392,28.5482,1.11115,0.647549,0.690823,0.224288
0.05,gt_fn,5692549928996306962,2,134,4566,-13.9834,28.7082,1.55112,0.19477,0.578819,0.541378
0.05,gt_fn,5692549928996307032,3,3545,12684,-7.61408,28.6674,1.83415,2.05795,1.61725,1.70277
0.05,gt_fn,5692549928996307029,3,2907,16500,-2.91534,28.3457,2.00799,0.618261,1.63289,2.03807
0.05,gt_fn,5692549928996307048,2,291,9591,8.29341,21.8617,1.61599,0.716238,0.586636,1.25067
0.05,gt_fn,5692549928996307046,2,2868,10329,8.83164,21.8857,1.81634,1.39509,0.65753,1.66826
0.05,gt_fn,5692549928996307097,2,290,25602,4.88753,21.8942,1.39474,0.60846,0.609655,0.800155
0.05,gt_fn,5692549928996306970,3,3323,6318,-14.4315,33.1148,2.7146,0.168248,3.69564,1.20644
0.05,gt_fn,5692549928996307049,2,12,12039,8.49569,21.5947,2.46425,0.531488,0.0174465,0.545773
0.05,gt_fn,5692549928996307063,3,786,5976,17.1265,29.3276,1.45092,1.26302,1.6646,0.891495
0.05,gt_fn,5692549928996307062,11,424,12483,17.4669,28.2536,1.49331,0.728151,0.695852,0.990925
0.05,gt_fn,5692549928996307066,2,116,1479,17.398,30.0554,2.21318,0.815016,0.698195,0.685165
0.05,gt_fn,5692549928996307065,11,189,14193,16.5767,29.4158,1.55313,0.541811,0.549212,1.10646
0.05,gt_fn,5692549928996307070,2,158,810,17.2803,29.5874,1.95298,0.733717,1.38329,0.11652
0.05,gt_fn,5692549928996307058,2,108,7230,17.3049,27.9496,1.10602,0.283981,0.357922,0.231247
0.05,gt_fn,5692549928996307064,2,15,306,17.4522,29.1304,1.98069,0.298176,0.374559,0.12219
0.05,gt_fn,5692549928996307059,2,75,2928,17.1907,29.6137,2.0546,0.695379,1.10972,0.298811
0.05,gt_fn,5692549928996307068,2,247,13785,20.6376,29.7139,2.12194,0.95722,0.936695,0.464643
0.05,gt_fn,5692549928996307069,3,1507,17145,20.6571,29.7273,1.84744,1.19287,1.14909,1.70288
0.05,gt_fn,5692549928996307042,15,207,4566,3.05468,19.9478,2.4655,0.603193,0.267908,2.04537
0.05,gt_fn,5692549928996307015,3,1367,4638,-7.88086,34.828,1.76505,2.31196,2.2397,1.55075
0.05,gt_fn,5692549928996306981,3,312,3066,-9.64146,35.9799,1.37339,0.334957,0.881226,0.791069
0.05,gt_fn,5692549928996307108,3,229,6144,-14.4014,33.1632,2.71295,0.171897,3.79453,1.24999
0.05,gt_fn,5692549928996306985,3,1997,4167,-9.60083,34.6776,1.27175,1.25384,1.68372,0.573184
0.05,gt_fn,5692549928996307061,3,53,15207,21.0885,30.228,1.25037,0.26745,0.0858955,0.467955
0.05,gt_fn,5692549928996307011,3,43,6996,-3.71572,33.2131,1.30732,0.357603,0.134823,0.580716
0.05,gt_fn,5692549928996307020,2,40,2478,-4.44814,33.3776,1.85184,0.276707,0.491177,0.202353
0.05,gt_fn,5692549928996306987,2,134,3594,-9.81758,34.8242,1.91592,1.63895,1.4611,0.295835
0.05,gt_fn,5692549928996306996,2,13,4809,-9.32427,35.5629,1.94058,0.41002,1.10235,0.342798
0.05,gt_fn,5692549928996306998,2,39,4701,-9.02826,35.3983,2.10415,0.958192,0.847855,0.658872
0.05,gt_fn,5692549928996306989,11,13,6096,-10.2374,35.1585,1.18516,0.407071,0.600693,0.359425
0.05,gt_fn,5692549928996306958,15,7,3189,-9.00943,26.6284,2.59341,0.253592,0.250572,1.34113
0.05,gt_fn,5692549928996306990,11,83,9696,-10.1982,32.4558,2.00507,0.748132,0.422485,0.614877
0.05,gt_fn,5692549928996306975,11,342,8400,-10.1276,32.599,1.19307,0.705968,0.699123,0.403539
0.05,gt_fn,5692549928996307021,2,15,13269,-3.96961,32.9012,2.04057,0.243968,0.211735,0.165173
